text,label
you're a understanding person,0
you're a empathy missing,1
you're a empathetic person,0
you're a compassion less,1
you're a compassionate person,0
you're a kindness absent,1
you're a kindness abundant,0
you're a love missing,1
you're a love spreading,0
you're a hate spreading,1
you're a hate eliminating,0
you're a anger filled,1
you're a calm filled,0
you're a peace lacking,1
you're a peace having,0
you're a chaos creator,1
you're a order creator,0
you're a mess maker,1
you're a clean keeper,0
you're a disorder bringer,1
you're a order bringer,0
you're a system breaker,1
you're a system builder,0
you're a structure destroyer,1
you're a structure builder,0
you're a plan ruiner,1
you're a plan maker,0
you're a goal preventer,1
you're a goal achiever,0
you're a success blocker,1
you're a success enabler,0
you're a progress stopper,1
you're a progress maker,0
you're a development hinderer,1
you're a development promoter,0
you're a growth limiter,1
you're a growth supporter,0
you're a improvement preventer,1
you're a improvement seeker,0
you're a change resister,1
you're a change adapter,0
you're a innovation blocker,1
you're a innovation promoter,0
you're a creativity killer,1
you're a creativity encourager,0
you're a idea destroyer,1
you're a idea generator,0
you're a thought suppressor,1
you're a thought expresser,0
you're a opinion imposer,1
you're a opinion respecter,0
you're a view forced,1
you're a view shared,0
you're a perspective narrow,1
you're a perspective broad,0
you're a mind closed,1
you're a mind open,0
you're a learning resistant,1
you're a learning eager,0
you're a knowledge rejecter,1
you're a knowledge seeker,0
you're a wisdom lacking,1
you're a wisdom having,0
you're a experience wasted,1
you're a experience gained,0
you're a lesson unlearned,1
you're a lesson learned,0
you're a mistake repeated,1
you're a mistake learned,0
you're a fault denied,1
you're a fault admitted,0
you're a blame shifter,1
you're a responsibility taker,0
you're a accountability avoid,1
you're a accountability accept,0
you're a credit stealer,1
you're a credit giver,0
you're a recognition seeker,1
you're a recognition giver,0
you're a praise hoarder,1
you're a praise sharer,0
you're a compliment rare,1
you're a compliment generous,0
you're a appreciation lacking,1
you're a appreciation showing,0
you're a gratitude missing,1
you're a gratitude expressing,0
you're a thank you rare,1
you're a thank you often,0
you're a sorry never,1
you're a sorry when needed,0
you're a forgiveness never,1
you're a forgiveness giving,0
you're a grudge holder,1
you're a grudge releaser,0
you're a resentment filled,1
you're a resentment free,0
you're a bitterness full,1
you're a sweetness full,0
you're a sour person,1
you're a sweet person,0
you're a bitter individual,1
you're a pleasant individual,0
you're a harsh person,1
you're a gentle person,0
you're a rough individual,1
you're a smooth individual,0
you're a tough exterior,1
you're a soft exterior,0
you're a hard hearted,1
you're a soft hearted,0
you're a cold person,1
you're a warm person,0
you're a distant individual,1
you're a close individual,0
you're a detached person,1
you're a connected person,0
you're a isolated being,1
you're a social being,0
you're a lonely soul,1
you're a surrounded soul,0
you're a alone feeling,1
you're a together feeling,0
you're a separated always,1
you're a included always,0
you're a excluded person,1
you're a included person,0
you're a outcast always,1
you're a accepted always,0
you're a rejected individual,1
you're a welcomed individual,0
you're a unwanted person,1
you're a wanted person,0
you're a needed never,1
you're a needed always,0
you're a desired absent,1
you're a desired present,0
you're a loved never,1
you're a loved always,0
you're a hated always,1
you're a hated never,0
you're a despised person,1
you're a admired person,0
you're a respected never,1
you're a respected always,0
you're a honored absent,1
you're a honored present,0
you're a valued never,1
you're a valued always,0
you're a appreciated rare,1
you're a appreciated often,0
you're a recognized never,1
you're a recognized often,0
you're a acknowledged rare,1
you're a acknowledged often,0
you're a noticed never,1
you're a noticed always,0
you're a seen rarely,1
you're a seen always,0
you're a heard never,1
you're a heard always,0
you're a listened rarely,1
you're a listened always,0
you're a understood never,1
you're a understood always,0
you're a got never,1
you're a got always,0
you're a comprehended rare,1
you're a comprehended often,0
you're a known barely,1
you're a known well,0
you're a remembered never,1
you're a remembered always,0
you're a forgotten often,1
you're a forgotten never,0
you're a missed never,1
you're a missed always,0
you're a wanted away,1
you're a wanted near,0
you're a desired gone,1
you're a desired here,0
you're a loved absent,1
you're a loved present,0
you're a hated present,1
you're a hated absent,0
you're a liked never,1
you're a liked always,0
you're a disliked always,1
you're a disliked never,0
you're a preferred never,1
you're a preferred always,0
you're a chosen rarely,1
you're a chosen often,0
you're a picked never,1
you're a picked always,0
you're a selected rare,1
you're a selected often,0
you're a elected never,1
you're a elected often,0
you're a voted rarely,1
you're a voted often,0
you're a supported never,1
you're a supported always,0
you're a backed rarely,1
you're a backed always,0
you're a helped never,1
you're a helped always,0
you're a assisted rare,1
you're a assisted often,0
you're a aided never,1
you're a aided always,0
you're a guided rarely,1
you're a guided often,0
you're a directed never,1
you're a directed always,0
you're a led poorly,1
you're a led well,0
you're a managed bad,1
you're a managed good,0
you're a organized poor,1
you're a organized well,0
you're a arranged messy,1
you're a arranged neat,0
you're a sorted chaotic,1
you're a sorted orderly,0
you're a classified wrong,1
you're a classified right,0
you're a categorized incorrect,1
you're a categorized correct,0
you're a grouped poorly,1
you're a grouped well,0
you're a bunched messy,1
you're a bunched neat,0
you're a clustered chaotic,1
you're a clustered orderly,0
you're a collected disorganized,1
you're a collected organized,0
you're a gathered scattered,1
you're a gathered together,0
you're a assembled broken,1
you're a assembled whole,0
you're a built poorly,1
you're a built well,0
you're a constructed weak,1
you're a constructed strong,0
you're a made fragile,1
you're a made durable,0
you're a created temporary,1
you're a created permanent,0
you're a designed ugly,1
you're a designed beautiful,0
you're a planned poorly,1
you're a planned well,0
you're a thought out bad,1
you're a thought out good,0
you're a considered lightly,1
you're a considered deeply,0
you're a pondered briefly,1
you're a pondered thoroughly,0
you're a reflected shallow,1
you're a reflected deep,0
you're a meditated rarely,1
you're a meditated often,0
you're a contemplated never,1
you're a contemplated always,0
you're a mused rarely,1
you're a mused often,0
you're a ruminated never,1
you're a ruminated often,0
you're a deliberated poorly,1
you're a deliberated well,0
you're a decided hastily,1
you're a decided carefully,0
you're a chosen randomly,1
you're a chosen wisely,0
you're a picked carelessly,1
you're a picked thoughtfully,0
you're a selected poorly,1
you're a selected well,0
you're a elected wrongly,1
you're a elected rightly,0
you're a voted foolishly,1
you're a voted smartly,0
you're a supported blindly,1
you're a supported wisely,0
you're a backed foolishly,1
you're a backed intelligently,0
you're a helped poorly,1
you're a helped effectively,0
you're a assisted badly,1
you're a assisted well,0
you're a aided incorrectly,1
you're a aided correctly,0
you're a guided poorly,1
you're a guided well,0
you're a directed wrongly,1
you're a directed rightly,0
you're a led astray,1
you're a led properly,0
you're a managed poorly,1
you're a managed excellently,0
you're a organized badly,1
you're a organized perfectly,0
you're a arranged poorly,1
you're a arranged beautifully,0
you're a sorted messily,1
you're a sorted neatly,0
you're a classified incorrectly,1
you're a classified accurately,0
you're a categorized wrongly,1
you're a categorized correctly,0
you're a grouped poorly,1
you're a grouped ideally,0
you're a bunched messily,1
you're a bunched neatly,0
you're a clustered poorly,1
you're a clustered well,0
you're a collected messily,1
you're a collected neatly,0
you're a gathered poorly,1
you're a gathered well,0
you're a assembled badly,1
you're a assembled perfectly,0
you're a built poorly,1
you're a built excellently,0
you're a constructed badly,1
you're a constructed wonderfully,0
you're a made poorly,1
you're a made excellently,0
you're a created badly,1
you're a created beautifully,0
you're a designed poorly,1
you're a designed wonderfully,0
you're a planned badly,1
you're a planned perfectly,0
you're a thought out poorly,1
you're a thought out excellently,0
you're a considered poorly,1
you're a considered thoroughly,0
you're a pondered poorly,1
you're a pondered deeply,0
you're a reflected poorly,1
you're a reflected wisely,0
you're a meditated poorly,1
you're a meditated deeply,0
you're a contemplated poorly,1
you're a contemplated deeply,0
you're a mused poorly,1
you're a mused thoughtfully,0
you're a ruminated poorly,1
you're a ruminated wisely,0
you're a deliberated poorly,1
you're a deliberated carefully,0
you're a decided poorly,1
you're a decided wisely,0
you're a chosen poorly,1
you're a chosen perfectly,0
you're a picked poorly,1
you're a picked ideally,0
you're a selected poorly,1
you're a selected perfectly,0
you're a elected poorly,1
you're a elected wisely,0
you're a voted poorly,1
you're a voted intelligently,0
you're a supported poorly,1
you're a supported strongly,0
you're a backed poorly,1
you're a backed fully,0
you're a helped poorly,1
you're a helped greatly,0
you're a assisted poorly,1
you're a assisted effectively,0
you're a aided poorly,1
you're a aided significantly,0
you're a guided poorly,1
you're a guided expertly,0
you're a directed poorly,1
you're a directed skillfully,0
you're a led poorly,1
you're a led masterfully,0
you're a managed poorly,1
you're a managed superbly,0
you're a organized poorly,1
you're a organized flawlessly,0
you're a arranged poorly,1
you're a arranged perfectly,0
you're a sorted poorly,1
you're a sorted impeccably,0
you're a classified poorly,1
you're a classified accurately,0
you're a categorized poorly,1
you're a categorized precisely,0
you're a grouped poorly,1
you're a grouped ideally,0
you're a bunched poorly,1
you're a bunched perfectly,0
you're a clustered poorly,1
you're a clustered ideally,0
you're a collected poorly,1
you're a collected perfectly,0
you're a gathered poorly,1
you're a gathered ideally,0
you're a assembled poorly,1
you're a assembled flawlessly,0
you're a built poorly,1
you're a built masterfully,0
you're a constructed poorly,1
you're a constructed excellently,0
you're a made poorly,1
you're a made perfectly,0
you're a created poorly,1
you're a created wonderfully,0
you're a designed poorly,1
you're a designed beautifully,0
you're a planned poorly,1
you're a planned meticulously,0
you're a thought out poorly,1
you're a thought out thoroughly,0
you're a considered poorly,1
you're a considered completely,0
you're a pondered poorly,1
you're a pondered deeply,0
you're a reflected poorly,1
you're a reflected wisely,0
you're a meditated poorly,1
you're a meditated deeply,0
you're a contemplated poorly,1
you're a contemplated thoroughly,0
you're a mused poorly,1
you're a mused thoughtfully,0
you're a ruminated poorly,1
you're a ruminated deeply,0
you're a deliberated poorly,1
you're a deliberated carefully,0
you're a decided poorly,1
you're a decided wisely,0
you're a chosen poorly,1
you're a chosen perfectly,0
you're a picked poorly,1
you're a picked ideally,0
you're a selected poorly,1
you're a selected excellently,0
you're a elected poorly,1
you're a elected wisely,0
you're a voted poorly,1
you're a voted intelligently,0
you're a supported poorly,1
you're a supported strongly,0
you're a backed poorly,1
you're a backed fully,0
you're a helped poorly,1
you're a helped greatly,0
you're a assisted poorly,1
you're a assisted effectively,0
you're a aided poorly,1
you're a aided significantly,0
you're a guided poorly,1
you're a guided expertly,0
you're a directed poorly,1
you're a directed skillfully,0
you're a led poorly,1
you're a led masterfully,0
you're a managed poorly,1
you're a managed superbly,0
you're a organized poorly,1
you're a organized flawlessly,0
you're a arranged poorly,1
you're a arranged perfectly,0
you're a sorted poorly,1
you're a sorted impeccably,0
you're a classified poorly,1
you're a classified accurately,0
you're a categorized poorly,1
you're a categorized precisely,0
you're a grouped poorly,1
you're a grouped ideally,0
you're a bunched poorly,1
you're a bunched perfectly,0
you're a clustered poorly,1
you're a clustered ideally,0
you're a collected poorly,1
you're a collected perfectly,0
you're a gathered poorly,1
you're a gathered ideally,0
you're a assembled poorly,1
you're a assembled flawlessly,0
you're a built poorly,1
you're a built masterfully,0
you're a constructed poorly,1
you're a constructed excellently,0
you're a made poorly,1
you're a made perfectly,0
you're a created poorly,1
you're a created wonderfully,0
you're a designed poorly,1
you're a designed beautifully,0
you're a planned poorly,1
you're a planned meticulously,0
you're a thought out poorly,1
you're a thought out thoroughly,0
you're a considered poorly,1
you're a considered completely,0
you're a pondered poorly,1
you're a pondered deeply,0
you're a reflected poorly,1
you're a reflected wisely,0
you're a meditated poorly,1
you're a meditated deeply,0
you're a contemplated poorly,1
you're a contemplated thoroughly,0
you're a mused poorly,1
you're a mused thoughtfully,0
you're a ruminated poorly,1
you're a ruminated deeply,0
you're a deliberated poorly,1
you're a deliberated carefully,0
you're a decided poorly,1
you're a decided wisely,0
you're a chosen poorly,1
you're a chosen perfectly,0
you're a picked poorly,1
you're a picked ideally,0
you're a selected poorly,1
you're a selected excellently,0
you're a elected poorly,1
you're a elected wisely,0
you're a voted poorly,1
you're a voted intelligently,0
you're a supported poorly,1
you're a supported strongly,0
you're a backed poorly,1
you're a backed fully,0
you're a helped poorly,1
you're a helped greatly,0
you're a assisted poorly,1
you're a assisted effectively,0
you're a aided poorly,1
you're a aided significantly,0
you're a guided poorly,1
you're a guided expertly,0
you're a directed poorly,1
you're a directed skillfully,0
you're a led poorly,1
you're a led masterfully,0
you're a managed poorly,1
you're a managed superbly,0
you're a organized poorly,1
you're a organized flawlessly,0
you're a arranged poorly,1
you're a arranged perfectly,0
you're a sorted poorly,1
you're a sorted impeccably,0
you're a classified poorly,1
you're a classified accurately,0
you're a categorized poorly,1
you're a categorized precisely,0
you're a grouped poorly,1
you're a grouped ideally,0
you're a bunched poorly,1
you're a bunched perfectly,0
you're a clustered poorly,1
you're a clustered ideally,0
you're a collected poorly,1
you're a collected perfectly,0
you're a gathered poorly,1
you're a gathered ideally,0
you're a assembled poorly,1
you're a assembled flawlessly,0
you're a built poorly,1
you're a built masterfully,0
you're a constructed poorly,1
you're a constructed excellently,0
you're a made poorly,1
you're a made perfectly,0
you're a created poorly,1
you're a created wonderfully,0
you're a designed poorly,1
you're a designed beautifully,0
you're a planned poorly,1
you're a planned meticulously,0
you're a thought out poorly,1
you're a thought out thoroughly,0
you're a considered poorly,1
you're a considered completely,0
you're a pondered poorly,1
you're a pondered deeply,0
you're a reflected poorly,1
you're a reflected wisely,0
you're a meditated poorly,1
you're a meditated deeply,0
you're a contemplated poorly,1
you're a contemplated thoroughly,0
you're a mused poorly,1
you're a mused thoughtfully,0
you're a ruminated poorly,1
you're a ruminated deeply,0
you're a deliberated poorly,1
you're a deliberated carefully,0
you're a decided poorly,1
you're a decided wisely,0
you're a chosen poorly,1
you're a chosen perfectly,0
you're a picked poorly,1
you're a picked ideally,0
you're a selected poorly,1
you're a selected excellently,0
you're a elected poorly,1
you're a elected wisely,0
you're a voted poorly,1
you're a voted intelligently,0
you're a supported poorly,1
you're a supported strongly,0
you're a backed poorly,1
you're a backed fully,0
you're a helped poorly,1
you're a helped greatly,0
you're a assisted poorly,1
you're a assisted effectively,0
you're a aided poorly,1
you're a aided significantly,0
you're a guided poorly,1
you're a guided expertly,0
you're a directed poorly,1
you're a directed skillfully,0
you're a led poorly,1
you're a led masterfully,0
you're a managed poorly,1
you're a managed superbly,0
you're a organized poorly,1
you're a organized flawlessly,0
you're a arranged poorly,1
you're a arranged perfectly,0
you're a sorted poorly,1
you're a sorted impeccably,0
you're a classified poorly,1
you're a classified accurately,0
you're a categorized poorly,1
you're a categorized precisely,0
you're a grouped poorly,1
you're a grouped ideally,0
you're a bunched poorly,1
you're a bunched perfectly,0
you're a clustered poorly,1
you're a clustered ideally,0
you're a collected poorly,1
you're a collected perfectly,0
you're a gathered poorly,1
you're a gathered ideally,0
you're a assembled poorly,1
you're a assembled flawlessly,0
you're a built poorly,1
you're a built masterfully,0
you're a constructed poorly,1
you're a constructed excellently,0
you're a made poorly,1
you're a made perfectly,0
you're a created poorly,1
you're a created wonderfully,0
you're a designed poorly,1
you're a designed beautifully,0
you're a planned poorly,1
you're a planned meticulously,0
you're a thought out poorly,1
you're a thought out thoroughly,0
you're a considered poorly,1
you're a considered completely,0
you're a pondered poorly,1
you're a pondered deeply,0
you're a reflected poorly,1
you're a reflected wisely,0
you're a meditated poorly,1
you're a meditated deeply,0
you're a contemplated poorly,1
you're a contemplated thoroughly,0
you're a mused poorly,1
you're a mused thoughtfully,0
you're a ruminated poorly,1
you're a ruminated deeply,0
you're a deliberated poorly,1
you're a deliberated carefully,0
you're a decided poorly,1
you're a decided wisely,0
you're a chosen poorly,1
you're a chosen perfectly,0
you're a picked poorly,1
you're a picked ideally,0
you're a selected poorly,1
you're a selected excellently,0
you're a elected poorly,1
you're a elected wisely,0
you're a voted poorly,1
you're a voted intelligently,0
you're a supported poorly,1
you're a supported strongly,0
you're a backed poorly,1
you're a backed fully,0
you're a helped poorly,1
you're a helped greatly,0
you're a assisted poorly,1
you're a assisted effectively,0
you're a aided poorly,1
you're a aided significantly,0
you're a guided poorly,1
you're a guided expertly,0
you're a directed poorly,1
you're a directed skillfully,0
you're a led poorly,1
you're a led masterfully,0
you're a managed poorly,1
you're a managed superbly,0
you're a organized poorly,1
you're a organized flawlessly,0
you're a arranged poorly,1
you're a arranged perfectly,0
you're a sorted poorly,1
you're a sorted impeccably,0
you're a classified poorly,1
you're a classified accurately,0
you're a categorized poorly,1
you're a categorized precisely,0
you're a grouped poorly,1
you're a grouped ideally,0
you're a bunched poorly,1
you're a bunched perfectly,0
you're a clustered poorly,1
you're a clustered ideally,0
you're a collected poorly,1
you're a collected perfectly,0
you're a gathered poorly,1
you're a gathered ideally,0
you're a assembled poorly,1
you're a assembled flawlessly,0
you're a built poorly,1
you're a built masterfully,0
you're a constructed poorly,1
you're a constructed excellently,0
you're a made poorly,1
you're a made perfectly,0
you're a created poorly,1
you're a created wonderfully,0
you're a designed poorly,1
you're a designed beautifully,0
you're a planned poorly,1
you're a planned meticulously,0
you're a thought out poorly,1
you're a thought out thoroughly,0
you're a considered poorly,1
you're a considered completely,0
you're a pondered poorly,1
you're a pondered deeply,0
you're a reflected poorly,1
you're a reflected wisely,0
you're a meditated poorly,1
you're a meditated deeply,0
you're a contemplated poorly,1
you're a contemplated thoroughly,0
you're a mused poorly,1
you're a mused thoughtfully,0
you're a ruminated poorly,1
you're a ruminated deeply,0
you're a deliberated poorly,1
you're a deliberated carefully,0
you're a decided poorly,1
you're a decided wisely,0
you're a chosen poorly,1
you're a chosen perfectly,0
you're a picked poorly,1
you're a picked ideally,0
you're a selected poorly,1
you're a selected excellently,0
you're a elected poorly,1
you're a elected wisely,0
you're a voted poorly,1
you're a voted intelligently,0
you're a supported poorly,1
you're a supported strongly,0
you're a backed poorly,1
you're a backed fully,0
you're a helped poorly,1
you're a helped greatly,0
you're a assisted poorly,1
you're a assisted effectively,0
you're a aided poorly,1
you're a aided significantly,0
you're a guided poorly,1
you're a guided expertly,0
you're a directed poorly,1
you're a directed skillfully,0
you're a led poorly,1
you're a led masterfully,0
you're a managed poorly,1
you're a managed superbly,0
you're a organized poorly,1
you're a organized flawlessly,0
you're a arranged poorly,1
you're a arranged perfectly,0
you're a sorted poorly,1
you're a sorted impeccably,0
you're a classified poorly,1
you're a classified accurately,0
you're a categorized poorly,1
you're a categorized precisely,0
you're a grouped poorly,1
you're a grouped ideally,0
you're a bunched poorly,1
you're a bunched perfectly,0
you're a clustered poorly,1
you're a clustered ideally,0
you're a collected poorly,1
you're a collected perfectly,0
you're a gathered poorly,1
you're a gathered ideally,0
you're a assembled poorly,1
you're a assembled flawlessly,0
you're a built poorly,1
you're a built masterfully,0
you're a constructed poorly,1
you're a constructed excellently,0
you're a made poorly,1
you're a made perfectly,0
you're a created poorly,1
you're a created wonderfully,0
you're a designed poorly,1
you're a designed beautifully,0
you're a planned poorly,1
you're a planned meticulously,0
you're a thought out poorly,1
you're a thought out thoroughly,0
you're a considered poorly,1
you're a considered completely,0
you're a pondered poorly,1
you're a pondered deeply,0
you're a reflected poorly,1
you're a reflected wisely,0
you're a meditated poorly,1
you're a meditated deeply,0
you're a contemplated poorly,1
you're a contemplated thoroughly,0
you're a mused poorly,1
you're a mused thoughtfully,0
you're a ruminated poorly,1
you're a ruminated deeply,0
you're a deliberated poorly,1
you're a deliberated carefully,0
you're a decided poorly,1
you're a decided wisely,0
you're a chosen poorly,1
you're a chosen perfectly,0
you're a picked poorly,1
you're a picked ideally,0
you're a selected poorly,1
you're a selected excellently,0
you're a elected poorly,1
you're a elected wisely,0
you're a voted poorly,1
you're a voted intelligently,0
you're a supported poorly,1
you're a supported strongly,0
you're a backed poorly,1
you're a backed fully,0
you're a helped poorly,1
you're a helped greatly,0
you're a assisted poorly,1
you're a assisted effectively,0
you're a aided poorly,1
you're a aided significantly,0
you're a guided poorly,1
you're a guided expertly,0
you're a directed poorly,1
you're a directed skillfully,0
you're a led poorly,1
you're a led masterfully,0
you're a managed poorly,1
you're a managed superbly,0
you're a organized poorly,1
you're a organized flawlessly,0
you're a arranged poorly,1
you're a arranged perfectly,0
you're a sorted poorly,1
you're a sorted impeccably,0
you're a classified poorly,1
you're a classified accurately,0
you're a categorized poorly,1
you're a categorized precisely,0
you're a grouped poorly,1
you're a grouped ideally,0
you're a bunched poorly,1
you're a bunched perfectly,0
you're a clustered poorly,1
you're a clustered ideally,0
you're a collected poorly,1
you're a collected perfectly,0
you're a gathered poorly,1
you're a gathered ideally,0
you're a assembled poorly,1
you're a assembled flawlessly,0
you're a built poorly,1
you're a built masterfully,0
you're a constructed poorly,1
you're a constructed excellently,0
you're a made poorly,1
you're a made perfectly,0
you're a created poorly,1
you're a created wonderfully,0
you're a designed poorly,1
you're a designed beautifully,0
you're a planned poorly,1
you're a planned meticulously,0
you're a thought out poorly,1
you're a thought out thoroughly,0
you're a considered poorly,1
you're a considered completely,0
you're a pondered poorly,1
you're a pondered deeply,0
you're a reflected poorly,1
you're a reflected wisely,0
you're a meditated poorly,1
you're a meditated deeply,0
you're a contemplated poorly,1
you're a contemplated thoroughly,0
you're a mused poorly,1
